time,b03e_1,b0ce_1,b0de_1,da3e_1,b00e_1,b0fe_1,da2e_1,da5e_1,da1e_1,b07e_1,da4e_1,dace_1,b03e_2,b0ce_2,b0de_2,da3e_2,b00e_2,b0fe_2,da2e_2,da5e_2,da1e_2,b07e_2,da4e_2,dace_2,b03e_3,b0ce_3,b0de_3,da3e_3,b00e_3,b0fe_3,da2e_3,da5e_3,da1e_3,b07e_3,da4e_3,dace_3
0,-0.12,-0.04,-0.46,-0.17,0.21,0.0,-0.08,-0.04,-0.08,0.0,0.46,0.12,0.08,-0.08,-0.12,-0.17,1.0,0.54,-0.46,0.79,0.17,-0.29,0.04,0.25,0.0,0.38,0.0,0.33,0.46,-0.46,0.0,0.21,-0.88,-0.04,0.25,0.04
1,-0.04,0.18,0.18,0.22,0.18,-0.13,0.13,0.22,0.0,0.0,-0.04,-0.4,-0.36,0.27,-0.04,-0.13,-0.67,-0.04,0.76,0.13,-0.09,0.89,0.27,0.27,0.0,-0.04,0.0,-0.84,-0.76,0.4,0.0,-0.84,0.93,0.27,-0.18,0.18
2,0.14,0.0,0.23,0.23,-0.27,0.09,0.14,0.23,0.05,0.0,0.05,1.09,-0.05,0.18,0.14,0.05,0.0,0.09,-0.09,0.27,-0.23,0.23,-0.23,-0.05,0.05,-0.55,0.18,-0.18,0.27,0.0,-1.55,0.91,-0.64,0.0,0.05,-0.09
3,-0.05,0.44,0.05,-0.1,-0.2,-0.05,-0.05,0.24,0.0,0.0,0.05,-0.88,-0.05,0.0,0.34,-0.1,0.0,-0.63,1.22,-1.22,0.1,0.1,0.54,0.05,0.54,-0.24,0.0,0.29,0.34,-0.34,0.0,-0.44,-2.2,0.24,-0.34,0.1
4,1.39,-0.22,0.04,-0.04,0.04,0.13,0.0,-0.13,-0.04,0.0,0.45,0.36,-0.13,-0.31,-0.09,0.18,0.13,0.45,0.0,-0.31,-0.36,-0.31,0.13,-0.36,-1.12,-0.04,0.0,-0.31,-0.04,-0.13,0.0,-0.04,2.43,-0.13,-0.31,0.0
5,0.04,0.17,0.0,0.21,0.12,-0.38,-0.12,-0.29,-0.21,0.0,-0.21,0.46,-0.17,-0.42,0.04,-0.12,-0.33,0.0,0.17,-0.21,-0.25,-0.21,-0.17,0.33,-0.04,-0.25,0.75,0.21,-0.25,0.29,0.0,-0.29,0.0,-0.08,-0.12,0.17
6,0.0,-0.09,0.0,0.09,-0.23,0.05,-0.14,0.23,0.0,0.0,-0.18,0.46,-0.55,0.09,-0.18,0.18,1.1,-0.05,0.46,0.0,0.14,-0.6,-0.09,-0.69,0.14,0.05,-1.56,-0.23,-0.18,-0.23,0.0,0.28,0.0,-0.18,0.14,-0.37
7,-0.2,-0.35,-0.54,0.49,0.0,-0.1,-0.05,-0.25,-0.1,0.0,0.15,-0.64,0.25,-0.4,0.0,0.15,-0.05,0.1,-0.35,-0.15,-0.59,-0.15,-0.15,0.05,0.0,-0.3,0.0,-0.25,-0.1,-0.35,0.0,0.15,-0.79,0.0,0.25,-0.05
8,-0.28,0.51,0.14,0.0,0.37,0.09,-0.05,0.09,0.28,0.0,-0.64,1.2,0.09,-0.46,0.23,0.0,0.0,0.37,-0.46,-0.14,-0.28,0.0,-0.51,0.23,-0.14,-0.41,-0.55,0.37,0.28,0.46,-2.71,-0.14,-1.24,0.18,-0.23,-0.05
9,0.55,-0.05,0.18,0.05,-0.27,0.0,0.27,-0.14,0.32,0.0,0.5,0.27,0.05,0.73,0.14,-0.36,0.0,0.27,2.64,0.14,0.09,-0.09,0.41,-0.05,-0.09,-0.41,0.68,0.41,-0.32,-0.36,-0.41,0.36,1.73,0.0,0.14,0.09
10,-0.22,-0.17,0.09,-0.52,0.0,0.09,0.17,0.09,-0.17,0.0,-0.09,-0.04,-0.39,-0.3,-0.09,-0.04,0.0,-0.17,0.39,0.13,-0.13,0.04,-0.04,0.09,-0.13,0.17,0.3,-0.13,0.47,0.26,0.0,0.13,-0.86,-0.22,0.0,0.0
11,0.35,0.2,0.5,0.25,-0.1,-0.05,-0.15,0.1,0.3,0.0,-0.5,-1.55,0.3,0.2,0.15,0.35,0.0,0.05,-0.65,0.1,-0.1,0.25,0.15,-0.45,0.0,-0.05,0.0,-0.65,-0.35,-0.25,0.0,0.15,-0.8,-0.2,0.05,0.3
12,-0.18,-0.09,-0.04,-0.09,0.22,-0.18,0.0,-0.09,0.0,0.0,0.09,-0.36,0.27,0.0,0.0,-0.18,0.36,-0.22,-1.89,-0.04,-0.04,0.18,-0.31,-0.04,0.0,0.27,0.0,0.04,0.09,0.04,0.0,-0.36,-1.3,0.22,-0.13,-0.31
13,0.22,0.0,0.3,0.22,-0.17,0.17,-0.04,0.26,-0.22,0.0,-0.13,0.0,0.22,-0.17,-0.04,0.35,-0.7,0.17,0.57,-0.17,0.13,0.17,0.17,-0.09,-0.09,0.04,-0.78,-0.78,0.39,0.17,0.0,-0.52,0.0,0.0,0.13,-0.04
14,0.09,-0.05,0.23,0.0,0.55,-0.18,-0.05,-0.05,-0.14,0.0,-0.32,0.74,0.0,0.0,-0.09,-0.14,0.78,-0.37,-1.01,0.28,-0.14,-0.51,-0.18,-1.06,0.0,0.18,-0.78,0.09,-0.55,-0.51,0.0,0.23,0.0,0.0,0.05,0.0
15,0.0,0.04,0.09,-0.27,-0.13,-0.09,0.0,-0.09,0.13,0.0,-0.09,-0.63,0.67,0.04,0.18,0.09,0.67,0.13,0.36,0.13,0.76,0.94,-0.22,-0.45,0.13,1.98,-0.58,0.22,0.31,-0.04,0.0,0.13,0.0,-0.22,0.04,0.0
16,0.41,0.05,-0.14,0.41,0.32,0.27,0.18,-0.09,-0.09,0.0,-0.09,-0.55,0.05,0.14,0.0,0.0,-0.32,0.18,-0.55,0.05,0.0,0.0,-0.45,-0.14,-0.27,-2.32,0.0,0.59,0.09,0.64,0.0,-0.45,1.41,0.18,0.09,-0.27
17,-0.19,-0.05,-0.14,0.09,-0.05,0.23,0.05,0.14,0.05,0.0,-0.56,0.51,0.05,0.19,0.65,0.0,-0.05,0.28,1.26,1.72,0.09,0.98,0.09,0.19,0.0,0.74,0.0,-0.19,0.05,-0.14,0.0,-0.09,-1.02,0.0,0.0,0.09
18,0.0,0.33,-0.28,0.0,-0.05,0.33,0.14,-0.09,-0.14,0.0,0.47,-0.71,-0.05,0.0,-0.28,0.0,0.0,0.19,0.19,0.05,-0.71,0.14,0.09,-0.47,-0.14,-1.08,1.08,0.24,-2.02,-0.24,-0.89,-0.47,0.0,-0.19,0.05,0.42
19,-0.23,-0.65,-0.14,0.05,-0.47,-0.28,0.19,0.05,-0.19,0.0,-0.37,0.19,-0.19,0.56,-0.14,-0.05,0.0,-0.09,0.0,0.56,0.65,-1.44,0.37,0.14,0.09,2.56,-0.84,0.09,-0.98,0.28,0.88,1.26,0.84,0.0,0.09,-0.47
20,0.42,0.42,-0.34,-0.13,-0.25,0.04,-0.25,-0.34,-0.13,0.0,-0.13,-0.13,-0.08,0.04,0.08,-0.04,0.0,0.0,-0.25,0.13,0.67,0.0,-0.04,-0.13,0.29,-0.04,-0.55,-0.25,0.46,0.21,-1.18,0.29,0.63,0.17,0.13,0.04
21,0.15,-0.2,1.07,0.1,-0.05,0.0,0.0,-0.05,0.0,0.0,-0.34,0.78,0.15,0.15,0.05,-0.49,0.0,0.05,-0.1,-0.1,-0.34,1.51,-0.49,0.34,-0.29,-0.83,0.49,0.15,0.05,0.05,0.88,-0.73,1.76,0.44,-0.63,-0.2
22,0.14,0.0,-0.23,-0.14,-0.23,-0.14,0.09,-0.28,-0.14,0.0,-0.23,-0.87,-0.41,-0.14,-0.37,0.18,0.0,-0.14,0.0,-0.18,0.32,0.0,0.05,-0.64,-0.14,0.87,-0.74,0.74,-0.18,0.05,-0.41,-0.18,-2.44,-0.18,-0.05,0.0
23,-0.42,0.04,0.13,-0.55,0.13,0.0,0.13,0.0,0.0,0.0,-0.38,0.76,-0.29,-0.21,-0.04,-0.04,0.63,-0.08,0.13,0.08,0.42,-0.29,-0.04,-0.13,0.0,0.21,0.0,-0.25,1.18,0.42,0.0,0.08,-0.93,-0.04,0.04,0.04
24,0.24,0.05,0.0,0.28,0.0,0.28,0.0,0.09,-0.09,0.0,1.08,-0.94,0.14,0.09,-0.05,0.24,2.68,0.38,-0.09,0.56,0.38,-0.05,0.09,-0.24,0.75,-0.05,0.0,-3.06,0.05,-0.09,0.0,-0.47,1.13,-0.09,0.05,0.28
25,0.26,0.04,-0.22,-0.13,0.26,0.04,-0.18,0.26,0.18,0.0,0.26,0.35,-0.04,0.04,0.26,-0.44,0.44,0.26,-0.4,-0.04,-0.13,-0.04,-0.35,0.26,-0.48,0.31,0.62,0.22,0.13,-0.13,0.0,-0.04,0.0,0.18,0.26,0.09
